FACILITYID,pesticide_mean_kg
10004639,0
10000450,56.80160140991211
10006936,43.03015899658203
10004024,22.448083877563477
10004650,107.74504852294922
10006939,22.56174087524414
10006303,25.687355041503906
10001082,16.63983726501465
10001091,16.082962036132812
10000356,42.133880615234375
10003943,189.17079162597656
10002237,30.15847396850586
10001866,6.388816833496094
10000630,1.4604835510253906
10001077,50.68870162963867
10001087,55.94822311401367
10001100,18.045459747314453
10006663,34.57606887817383
10006658,36.49857711791992
10006541,28.954498291015625
10001089,19.72596549987793
10005639,28.721513748168945
10001856,24.60930633544922
10006643,5.23853063583374
10004286,36.07123565673828
10003486,25.70156478881836
10003587,39.930442810058594
10003472,41.21226119995117
10005043,0.27472156286239624
10000360,39.18414306640625
10003891,41.994590759277344
10004517,98.04676818847656
10006331,167.74966430664062
10004522,153.50820922851562
10000295,15.216845512390137
10003878,33.19185256958008
10003461,43.027591705322266
10000917,5.991870403289795
10003453,33.316349029541016
10000023,2.7755837440490723
10000312,22.073698043823242
10002115,30.613357543945312
10003911,23.654279708862305
10006510,135.08335876464844
10004525,72.03459167480469
10001550,5.991870403289795
10005208,73.12491607666016
10006354,86.93382263183594
10001636,64.12696075439453
10001614,23.215890884399414
10001552,8.146672248840332
10003900,50.43534851074219
10006353,6.262653827667236
10002364,38.981727600097656
10004035,7.807607173919678
10001569,83.09310150146484
10004491,84.68312072753906
10000918,5.991870880126953
10001543,23.363203048706055
10001548,98.649871826171875
10000919,6.262653827667236
10002146,153.86033630371094
10002134,61.903564453125
10001559,6.2626543045043945
10001542,23.363204956054688
10004740,38.06404495239258
10004027,26.094167709350586
10000060,10.41730785369873
10004028,112.91596221923828
10005832,6.262653827667236
10000417,179.69754028320312
10000915,98.649871826171875
10000474,149.3658447265625
10000445,76.82716369628906
10006548,31.008502960205078
10006329,56.801605224609375
10000533,145.04502868652344
10000492,187.84072875976562
10002176,46.3525390625
10000409,136.2458953857422
10006208,179.69754028320312
10001555,0.11251252889633179
10002152,40.184730529785156
10001574,39.027164459228516
10002223,31.48944664001465
10001448,100.8905029296875
10000509,42.803428649902344
10001437,97.1559066772461
10004586,86.216064453125
10004556,46.77339172363281
10000433,167.74966430664062
10001176,98.81147766113281
10006168,216.18919372558594
10002225,113.52386474609375
10004585,145.7271270751953
10004239,24.602638244628906
10000413,0
10001042,60.696109771728516
10001936,19.546524047851562
10004580,179.69752502441406
10006297,0
10001867,28.95450210571289
10001061,52.820701599121094
10001166,4.114998817443848
10000438,170.75953674316406
10006511,69.72151184082031
10000187,64.38301849365234
10002941,106.24775695800781
10006328,211.9453887939453
10001068,18.168420791625977
10000186,71.37870025634766
10000205,22.114139556884766
10004903,59.36501693725586
10000285,0.3672538101673126
20000140,121.95164489746094
10004256,16.02472496032715
10004895,30.761672973632812
20000201,51.66044235229492
10004822,43.80636215209961
10003759,0
10000099,69.526397705078125
10001072,60.66420364379883
10006203,0
10001051,117.33267211914062
10006382,0.13330477476119995
10003203,88.28423309326172
10001748,44.821434020996094
10000292,12.958344459533691
10006176,3.961913585662842
10000123,0
10006333,100.8905029296875
10004168,55.73365783691406
10001760,55.73365783691406
10000314,44.322166442871094
10002106,37.31524658203125
10006153,113.04198455810547
10002129,104.96341705322266
10003618,14.793984413146973
10003973,125.42659759521484
10000580,18.443885803222656
10001421,33.68426513671875
10001980,50.98065185546875
10006661,75.3598403930664
10000378,231.56613159179688
10004496,155.7550048828125
