FACILITYID,avg_pm25
10004639,7.791666626930237
10000450,7.024999976158142
10006936,2.3777777353922525
10004024,8.419999885559083
10004650,8.983333349227905
10006939,9.675000190734863
10006303,6.633333444595337
10001082,8.108333587646484
10001091,9.293333625793457
10000356,8.65000025431315
10003943,9.00000031789144
10002237,4.266666769981384
10001866,9.066666603088379
10000630,8.48888874053955
10001077,7.1533331871032715
10001087,7.746666717529297
10001100,7.693333148956299
10006663,7.200000190734864
10006658,7.399999976158142
10006541,8.150000095367432
10001089,8.333333396911621
10005639,8.783333778381348
10001856,9.073333549499512
10006643,7.1249998807907104
10004286,7.608333349227905
10003486,4.8222222328186035
10003587,5.775000214576721
10003472,7.358333468437195
10005043,7.333333492279053
10000360,8.700000047683716
10003891,9.008333683013916
10004517,8.033333778381348
10006331,6.922222296396892
10004522,8.483333110809326
10000295,8.95555559794108
10003878,8.883333444595337
10003461,9.766666412353516
10000917,10.066666603088379
10003453,8.550000190734863
10000023,7.506666660308838
10000312,8.84166669845581
10002115,9.149999856948853
10003911,9.550000190734863
10006510,10.516666412353516
10004525,8.316666603088379
10001550,10.066666603088379
10005208,8.222222010294596
10006354,7.1583333015441895
10001636,7.833333174387614
10001614,7.5111111005147295
10001552,10.066666603088379
10003900,7.8750001192092896
10006353,7.858333468437195
10002364,8.027777910232544
10004035,10.066666603088379
10001569,6.2476188114711215
10004491,8.788888931274414
10000918,10.066666603088379
10001543,8.346666717529297
10001548,7.8055557409922285
10000919,7.883333444595337
10002146,8.11333351135254
10002134,8.833333492279053
10001559,7.794444561004639
10001542,8.416666825612387
10004740,5.958333373069763
10004027,7.453333377838135
10000060,7.858333468437195
10004028,6.473333358764648
10005832,7.0933332443237305
10000417,7.460000038146973
10000915,7.855555693308513
10000474,8.033333460489908
10000445,7.02222220102946
10006548,8.199999809265137
10006329,7.041666626930237
10000533,7.544444402058919
10000492,8.633333206176758
10002176,8.375
10000409,7.433333396911621
10006208,7.458333373069763
10001555,10.279999923706054
10002152,8.574999570846558
10001574,6.616666555404663
10002223,6.875
10001448,7.377777894337972
10000509,6.700000127156575
10001437,9.311110814412435
10004586,7.416666746139526
10004556,8.600000381469727
10000433,6.908333420753479
10001176,5.573333263397217
10006168,10.133333444595337
10002225,5.044444402058919
10004585,6.708333373069763
10004239,7.9666666984558105
10000413,8.366666316986084
10001042,7.6916667222976685
10001936,7.458333373069763
10004580,7.461111148198445
10006297,7.950000047683716
10001867,8.155555725097656
10001061,8.173333549499512
10001166,5.78333306312561
10000438,6.708333373069763
10006511,7.549999952316284
10000187,8.549999872843424
10002941,8.416666507720947
10006328,5.744444688161214
10001068,8.688888708750406
10000186,8.516666412353516
10000205,8.377777735392252
10004903,7.983333110809326
10000285,9.649999856948853
20000140,7.533333420753479
10004256,9.333333333333334
10004895,8.013333511352538
20000201,8.113333320617675
10004822,7.741666555404663
10003759,2.7722222010294595
10000099,7.444444497426351
10001072,8.338888804117838
10006203,2.7722222010294595
10001051,7.7238094466073175
10006382,9.96666669845581
10003203,5.641666650772095
10001748,7.1249998807907104
10000292,9.266666650772095
10006176,4.5
10000123,2.344444433848063
10006333,7.408333420753479
10004168,7.111111005147298
10001760,7.106666564941406
10000314,8.80666675567627
10002106,8.808333396911621
10006153,8.141666650772095
10002129,8.558333396911621
10003618,9.908333539962769
10003973,6.666666666666667
10000580,5.059999942779541
10001421,8.133333206176758
10001980,8.483333110809326
10006661,6.800000190734863
10000378,8.275000095367432
10004496,8.033332824707031
10000297,8.34444491068522
10000323,8.28333330154419
