FACILITYID,mean_ozone,matched_fips,dist_to_tract_m
10000274,61.495,26093743700,2167
10002701,57.064,45049920401,6041
10001383,57.967,26161422900,162
10001457,57.801,12103020700,599
10003076,59.495000000000005,42107000902,2707
10005124,63.935,48141003404,1594
10000264,57.323499999999996,26003000200,18748
10004592,62.367,12119910900,539
10004593,58.650499999999994,12119980100,0
10003978,67.182,04021000904,1960
10006179,65.2975,06019008303,4454
10001214,55.085499999999996,01051030902,2437
10001223,56.841499999999996,01011952202,2297
10000149,57.695,01053970400,5632
10001957,57.695,01053970400,2789
10000132,59.2385,01073014107,6734
10000140,55.085499999999996,01051030902,2660
10000142,58.221,01131034800,5451
10000278,56.333,26075005800,454
10001226,58.236,01031010500,5318
10004622,64.086,12081000805,1384
10003698,59.3685,01103000600,753
10000139,59.288,01051030902,2674
10000129,58.544,01083020805,1812
10000864,45.540000000000006,06083980400,1504
10006334,59.4435,12105015200,64
10001191,42.443,06045990100,3794311
10003721,59.909,01123962100,5386
10001209,58.316,01121011200,5513
10003710,58.920500000000004,01115040507,1185
10003728,55.188,01051030901,3102
10006241,55.727,01051030801,3277
10000146,58.685,01003010903,1116
10000143,56.0595,01005950200,4887
10000150,59.507,01097003901,985
10001222,59.323,01101005501,2500
10000124,42.443,06045990100,3794237
10000127,46.647,06075980401,3714928
10000355,60.291,12091021802,580
10003732,54.7245,01001020803,2108
10006524,58.1595,01117030703,3092
10001345,52.748,26033980300,0
10003736,56.2745,01101005501,1692
10001180,51.932,16001002100,8126
10000079,55.543,05069001402,2604
10001185,51.932,16001002100,7597
10001183,62.94200000000001,16001010411,8451
10003083,61.324,42021012300,4233
10004339,62.94200000000001,16001010411,8276
10003712,57.9225,01015000700,2663
10001582,58.148,51041100812,2837
10001182,51.932,16001002100,7692
10003307,56.7085,51195930700,1765
10006522,60.189,01087231602,4809
10001173,52.949,16061950300,14423
10000083,56.918,05069000102,1377
10003308,58.054,51195931600,4082
10006529,61.82,05143011302,466
10001187,59.099000000000004,16005001603,527
10001172,51.823,16035940000,1736
10001175,56.152,16043970300,2346
10004335,54.3755,53003960600,3592
10006525,55.964,05059020300,2279
10001909,60.7655,05119980200,170
10001178,61.5415,16027020404,1176
10000262,57.753,27131070701,0
10006526,60.33566666666667,05091020200,1288
10000621,64.26,04021002005,1865
10000087,60.614,48037010500,1328
10000081,55.543,05069001402,2166
10001578,56.949,51029930201,8025
10000439,58.8945,12083000304,1480
10000090,57.325500000000005,05017080200,1616
10001318,53.316,27061480401,12179
10006528,64.406,05035030302,666
10000941,55.248000000000005,29175490500,4144
10002066,57.7555,27049080201,1088
10000043,58.287,54081001500,2921
10001330,58.07,27163070801,0
10002117,63.268499999999996,13063040637,2311
10002248,61.985,04009961700,7816
10001090,56.228,19099980000,246
10001099,57.2145,19145490400,272
10000605,62.263,04013050702,18295
10001080,62.792,19025950300,9464
10005863,67.647,29189210703,2783
10001096,60.179,19087970400,860
10002246,68.67,04013614500,1601
10004633,55.248000000000005,12085001000,388
10002105,60.88849999999999,13135050615,877
10006311,57.1115,22079980000,1097
10006544,62.94200000000001,16001010411,9627
10001853,57.559,19065080100,565
10001949,58.794,16019970700,541
10001869,60.042,19179960300,1353
10000576,67.983,08043980300,750
10002228,61.7565,08025969602,3252
10001745,57.8765,37091980000,0
10001181,51.932,16001002100,7512
10002204,70.97800000000001,08031002404,285
10000683,61.195,17121952600,5569
10002217,63.4585,08077000801,732
10000572,69.53450000000001,08041002402,848
20000220,62.915,17197883210,1577
10000682,59.79633333333333,17101880900,12063
10000685,65.1605,17163502401,818
10000676,60.416,17061973900,2876
10000662,60.097,17183011200,2329
10000644,61.4345,17161020600,1196
10002401,78.593,09001071600,632
10002399,65.571,09015905100,223
10006633,65.30799999999999,40109110000,646
10000660,59.077,17057953400,3354
10002400,77.978,09001071900,306
10005380,66.082,09009141600,440
10000652,60.7755,17099961702,6776
10000678,61.019,17033880400,4162
10000695,61.2885,17087980000,438
10004734,61.2885,17087980000,298
10000665,60.395,17107953300,2503
10002395,65.523,11001006802,370
10002258,59.473,17001010200,10446
10000677,61.5925,17051950800,2817
10000669,61.905,17115002903,365
10002396,65.523,11001006802,464
10000646,62.915,17197883210,1370
10000674,60.441,17135957900,3777
10000688,59.991,17145030200,2770
10002259,60.686,17055040500,7063
10000720,57.943,42027010300,3598
10000672,57.407,17149952700,3398
10000708,59.909499999999994,10005050505,1718
10006352,64.179,17197980100,208
10000707,59.909499999999994,10005050505,1334
10000664,60.395,17107953300,2173
10000336,62.331,12063210900,5679
10000673,61.803,17021958500,5526
10000771,45.959,06015000203,9641
10002153,59.206,12033004000,1404
10000422,55.396,12037970101,6001
10004712,65.977,17083010500,6033
10000693,59.161,17165955800,1154
10000368,55.8565,12133970301,8176
10000339,60.704,12113010809,5302
10001065,63.436,18097340111,687
10004575,55.122,12129010206,2967
10004555,60.704,12113010809,5642
10004920,59.703,18081611300,6054
10000395,61.281,12023110400,11480
10001054,60.6025,18141011001,898
10001060,61.822,18095011600,211
10000396,61.281,12023110400,10846
10001075,60.4955,18123952200,1938
10001071,59.205,18133956600,4357
10000585,60.768,08089968000,6294
10000432,59.009,12029970101,2451
10001059,61.8465,18103952900,1593
10003012,67.40950000000001,32003005877,16449
10006309,59.984,18063210702,1332
10001073,61.599,18077966400,1556
10003002,61.131,32017950100,23864
10000560,70.5335,08031004110,264
10002997,62.603,32510000800,1803
10003006,67.4935,32003005818,19776
10002192,68.9545,08123000600,1070
10000562,69.685,08059011904,1064
10002210,66.374,08005006856,552
10004913,63.54,18065976100,2515
10000261,67.865,32003006001,828
10002843,62.742,48453002214,1092
10000385,58.0055,12047960101,1216
10001063,59.050666666666665,18121030300,851
10000414,60.303,12007000400,4657
10005258,60.7115,06089012605,12118
10001052,60.1505,18091042500,3101
10002991,57.15,32027960100,24079
10000428,57.495000000000005,12075970304,4785
10000260,69.2795,32031000702,631
10000384,58.0055,12047960101,1455
10000871,59.183,06073005400,198
10000949,56.7265,22073001500,841
10000430,57.914500000000004,12107951000,4572
10000329,61.354,13185011200,2796
10004747,55.290499999999994,22081960100,3649
10001045,61.521,20015020400,2894
10006290,58.744,20099950700,2464
10004094,64.052,22037951502,7403
10001907,61.051,05119004005,5518
10005933,59.5955,22051028200,951
10002187,57.5185,12071020104,4541
10003000,63.119,32017950200,57237
10000546,53.7635,12086011407,2339
10005599,63.593999999999994,18091040100,130
10000259,58.469,32007951300,3455
10000467,63.71,12101033014,1643
10006613,69.176,32031001901,905
10000691,61.9045,17077010700,1585
10003008,68.0115,32003003649,815
10000460,59.613,12095016731,3422
10000504,60.134,12027010102,8435
10000658,59.8,17179020900,2267
10006167,58.8945,12083000304,862
20000240,58.744,20099950700,2578
10005267,53.401,06021010300,25598
10000633,57.294,17015960600,8314
10005319,62.548,06027000200,9157
10005362,64.629,06111005205,2078
10000308,60.081,13209950200,2022
10001041,56.5355,20145970200,5170
10000840,80.469,06071000504,1000
10005275,53.401,06021010300,19227
10000642,60.418,17103000400,903
10004852,56.5355,20145970200,5111
10004527,55.485,13001950202,2366
10000653,58.9825,17095000900,1141
10000545,53.7635,12086011407,2762
10004812,53.467,20163974600,2925
10003928,58.5755,13285960600,3401
10001030,59.3855,20103071102,1938
10001028,52.882,20137951700,9744
10001162,53.2845,23029956100,8170
10002488,51.6935,53053061601,1446
10000874,59.186,06073005302,166
10000689,60.304,17145030600,4061
10006350,59.398,17087980000,9339
10002121,70.52,13063040308,1325
10001033,60.091,20177003100,1103
10006209,62.7055,17157951201,2249
10000671,57.945499999999996,17137952000,3016
10001050,60.137,20035493500,1047
10002102,62.623,13137000601,2267
10004505,56.808499999999995,13023790301,3520
10000655,61.8425,17105960700,314
10000319,53.922,13305970500,1658
10004616,59.306,12057012211,1136
10001605,68.85,09013538100,1179
10001972,68.09700000000001,48439100602,1231
10000084,60.9775,05069000102,737
10003678,57.5695,21001970401,3219
10006326,63.989,12039020600,4395
10006327,59.239000000000004,12003040202,13690
10006596,52.485,33013032600,1358
10003647,62.811,21111010005,352
10000503,59.893,12027010101,8597
10000361,55.842,12131950304,3181
10000518,56.266,12099007818,1164
10004312,55.117,21205950200,489
10000403,59.891,12125960202,15978
10000382,61.493,12079110302,751
10006210,61.8425,17105960700,203
10000647,64.82,17197884103,0
10000667,59.087,17009970400,94
10000457,58.245000000000005,12119911000,770
10006597,52.485,33013032600,1394
10000455,58.245000000000005,12119911000,130
10000687,60.059,17157951200,2660
10000635,62.507000000000005,17031837300,87
10006389,55.727000000000004,33011200400,599
10004667,66.215,17031837800,255
10006351,64.179,17197980100,253
10000641,66.077,17043846411,1435
10000657,62.699,17143001200,484
10004677,61.528,17073030800,1185
10005054,60.4915,21083020200,1125
10000263,60.977,27161790500,205
10001325,60.628,27003050229,511
10001319,54.233999999999995,27017070501,2635
10001333,57.903000000000006,27139080500,369
10001062,61.822,18095011600,1060
10004176,61.013,37003040400,1273
10001067,59.984,18063210702,966
10001236,49.004,53009940000,2192753
10003680,59.511,21145031400,1673
10001944,58.617333333333335,21227010100,227
10000316,55.7085,13271950102,2355
10006749,60.93866666666666,18085962200,2914
10000320,53.922,13305970500,1140
10000325,58.5255,13205090401,4911
10006339,57.7285,13087970200,5458
10002138,62.953,13091960100,3959
10006154,60.138,13093970100,5430
10002144,55.42100000000001,13069010302,321
10003880,58.678,13291000205,1714
10004497,56.9345,13107970101,3926
10001415,69.526,13089023802,813
10006453,57.683,13165960100,6539
10006322,61.709,13009970702,2709
10001759,58.89,37015960400,3349
10000309,55.673500000000004,13267950300,4297
10002147,54.674,13299950300,2716
10000307,56.753,13235950201,3478
10000328,61.354,13185011200,2839
10004216,57.721999999999994,37031970703,1735
10004177,61.194,37057061400,774
10004487,59.590500000000006,13231010101,979
10002139,56.0025,13091960301,2233
10000116,59.589,21021930100,2805
10000120,59.23350000000001,21143960101,4292
10002118,63.268499999999996,13063040637,2081
10000293,69.526,13089023802,492
10001424,64.7,13021013302,2012
10004551,59.814,13173950200,4505
10005188,61.694,13175950700,11139
10000302,64.7,13021013302,2252
10002136,59.268,13215010109,1313
10006344,62.407,13121010526,809
10003650,60.5945,21067003704,2107
10006345,59.446,13245010511,860
10001801,58.563500000000005,37129980100,1536
10000117,60.4495,21177960201,1070
10001411,63.432500000000005,13121001203,367
10004534,55.278499999999994,13005970202,6147
10001095,64.13,19163010700,574
10001426,62.013,13215010606,467
10000103,61.135999999999996,21185030301,1235
10004500,57.619,13153021401,2198
10005191,56.147999999999996,13283960200,1237
10001788,57.387,37137950103,2434
10000636,62.5465,17031838600,213
10004173,62.153499999999994,37183050800,204
10004183,61.9965,37159051201,1400
10001747,61.01,37077970704,2132
10001753,55.739000000000004,37139960502,3860
10000638,65.211,17089852905,695
10000128,46.647,06075980401,3710359
10003694,46.647,06075980401,3682160
10003691,42.443,06045990100,3796416
10001793,61.9815,37155960403,6248
10003692,42.443,06045990100,3864595
10000948,57.059,22027950200,8166
10001777,60.6155,37105030300,1298
10006582,61.341,37123960200,3431
10000126,42.443,06045990100,3782140
10003690,42.443,06045990100,3782606
10000442,58.8945,12083000304,2242
10000972,63.418,22047953200,2100
10001021,53.8345,37177960100,11013
10004619,58.384,12081000103,322
10000471,59.397,12101032005,3524
10004174,62.153499999999994,37183050800,602
10000967,56.3715,22003950502,5512
10000960,59.19,22009030700,2362
10002416,56.495000000000005,22117950101,2306
10000971,63.754,22033004203,1434
10000963,62.057500000000005,22125980000,370
20000261,61.9015,22099020602,1832
20000262,62.057500000000005,22125980000,3789
10002165,56.268,12009062109,400
10004657,53.826,12087971900,278
20000260,58.855,22009030600,2018
10002097,58.708,25023525300,684
10002206,67.546,08001008200,927
10006564,57.243,29077004201,1089
10000449,57.301,12127083207,5677
10002096,59.068,25025981100,372
