FACILITYID,npl_prox
10000002,0.058208762050301614
10000004,0.059225004854180696
10000006,0.01799821472840258
10000010,0.03204006866228033
10000013,0.05157913920660502
10000014,0.05558224073306329
10000017,0.09922928361332559
10000023,0.017815695959988376
10000025,0.07545964443861622
10000028,0.022361579348665412
10000033,0.10527102482230756
10000037,0.0430537425325186
10000041,0.09278314397715655
10000042,0.03106057383533887
10000043,0.05676911195516825
10000044,0.054652630320851665
10000050,0.013940627294688826
10000053,0.01622940848104334
10000055,0.004289139441585252
10000056,0.005469934279411786
10000057,0.004785771625264723
10000059,0.0029326863911262597
10000060,0.010171063492069133
10000062,0.012810796468301315
10000065,0.019149372835808656
10000066,0.016681273731625524
10000069,0.008437981294404168
10000070,0.008409697428401005
10000072,0.02449771983433091
10000075,0.02724344654777365
10000076,0.016038918240303603
10000077,0.02350277993377894
10000078,0.014326217612103724
10000079,0.01369778036398186
10000080,0.013668762951281326
10000081,0.013690503522536868
10000083,0.019694800236412416
10000084,0.019042652593780688
10000085,0.010024748796412297
10000087,1.6414686382511259
10000088,0.00966088913550141
10000089,0.00967724208366137
10000090,0.00966760909839207
10000092,0.06534008125843985
10000094,0.4217863426628387
10000095,0.017659346529291055
10000098,0.29213897675214134
10000099,0.03571125200861968
10000100,0.020489195245799747
10000101,0.020106023427285524
10000102,0.020533243596467892
10000103,0.02025317935584515
10000106,0.02704268305762238
10000107,0.022332648313576633
10000109,0.011320079172789889
10000110,0.02088923978388686
10000111,0.022798645726672995
10000112,0.012401206678662357
10000115,0.013469616210468023
10000116,0.010580900031344927
10000117,0.01630609973249997
10000118,0.019224851358942207
10000119,0.019356954244274183
10000120,0.04283203154368398
10000121,0.03376257361057619
10000122,0.02176124287449427
10000123,0.3687616673105392
10000124,0.18981307206736894
10000126,0.04867949000895977
10000127,0.0062836541963657904
10000128,0.0029362747746390196
10000129,0.052446290098125944
10000132,0.02786373989768832
10000135,0.11911818896068276
10000136,0.04265775367429315
10000139,0.04257782448651414
10000140,0.04244543500311984
10000141,0.32876363802245695
10000142,0.010065196314744824
10000143,0.015980415675624263
10000144,0.02298489732809465
10000146,0.021534712248135666
10000149,0.017998108727269944
10000150,0.03692739304391973
10000151,0.008449376636515795
10000152,0.012387964996769156
10000154,0.22927967086943696
10000155,0.04177541250932117
10000156,0.006737567832449851
10000157,0.0144952910965588
10000161,0.013030894970562073
10000163,0.05629937289957464
10000165,0.3761981886844691
10000172,0.05298888288687162
10000174,0.006825433294903285
10000175,0.005435971427787226
10000176,0.005453162873123577
10000178,0.025030883822558213
10000180,0.008056928123908106
10000182,0.016454886090614233
10000183,0.036326875908406046
10000185,0.008374403688541393
10000186,0.009103355104810194
10000187,0.00903446463922828
10000189,0.00722211783205194
10000190,0.008462507249982864
10000191,0.02485736362974898
10000194,0.018088891918937984
10000195,0.01888990849562954
10000196,0.01840271142467472
10000197,0.01212596462725882
10000198,0.012157927235619257
10000199,0.012651135284596673
10000200,0.009240357270518586
10000203,0.008446077538011227
10000204,0.4578636417870653
10000205,0.017861633493889393
10000206,0.01368144456728181
10000208,0.02481375704421687
10000209,0.0221715862499254
10000210,0.022916056520027626
10000211,0.021657477289359274
10000212,0.016469312021210717
10000213,0.026456514968722273
10000215,0.01631120337132184
10000216,0.015908552349479233
10000219,0.018475638758587692
10000220,0.10417224912893454
10000223,0.013374249626426136
10000224,0.06588967913388208
10000225,0.030908620114629456
10000226,0.010383839051359372
10000228,0.015420611574871483
10000229,0.10234652215376544
10000234,0.05627458245975068
10000237,0.017264554556522
10000238,0.01715629163787768
10000241,0.024454700929008533
10000242,0.023849708536349455
10000243,0.051165607900320806
10000244,0.024885462621512474
10000245,0.050209025630474684
10000246,0.030982256155933204
10000247,0.009889937043671446
10000248,0.01524841366410546
10000249,0.005164205360146498
10000251,0.05930969201438403
10000252,0.023915821338863316
10000253,0.02342342696527298
10000257,0.009348499485893612
10000258,0.00510939703471441
10000259,0.004036557922981773
10000260,0.02171550785414804
10000261,0.004292734909424004
10000262,0.017423199363551665
10000263,0.026123116053761188
10000264,0.005927535942356766
10000267,0.2744060498999298
10000269,0.09769663126473394
10000272,0.23364224205838782
10000273,0.21325764362189104
10000274,0.5987298002756001
10000277,0.2592396977545931
10000278,0.21513568557111662
10000281,0.7275463660014592
10000282,0.2641701359385373
10000283,0.081123524030297
10000284,0.04684930043472446
10000285,0.14419353212290448
10000292,0.0916870681246802
10000293,0.09400524230965289
10000295,0.0683401833301091
