FACILITYID,flood_risk_area_m2,flood_risk_percent
10004639,2028314.5631575831,57.02293230711874
10000450,1348158.4226427595,37.524599297226366
10006936,0,0
10004024,1786794.462911793,36.22342217711111
10004650,1466835.7285163773,37.92889280900665
10006939,0,0
10006303,648092.1636042366,16.400906279376795
10001082,874298.1049620496,20.822909070152587
10001091,85243.1490251592,1.879589793695983
10000356,1484494.7814067206,30.40784601544902
10003943,335375.37556376704,9.205844607751821
10002237,37410.65366495866,1.0532483938443182
10001866,978365.3575894564,28.419597115284077
10000630,520854.4943123255,13.774745055846289
10001077,NA,NA
10001087,52760.41982921297,1.1323357574321662
10001100,13968.579793072491,0.27068442755205685
10006663,48640.11097309805,1.074906178437927
10006658,85759.34204890988,2.4440236498533525
10006541,376525.6914224556,11.290567854030064
10001089,0,0
10005639,361338.61439951323,10.60675791743975
10001856,344196.6751248908,10.125770414606485
10006643,70050.68360807057,1.5253018588981961
10004286,166108.81203131232,4.711679995958646
10003486,NA,NA
10003587,595492.5644738048,13.566097227668283
10003472,164429.4460520049,4.566051381138119
10005043,145337.65457388666,4.194807087062675
10000360,244213.3801173578,4.954637006077963
10003891,229001.1728311457,6.285895457259912
10004517,242061.01001758326,6.485406026390446
10006331,1452963.9454296199,36.761960773383635
10004522,780144.1640981109,20.96314457825828
10000295,1289109.2305250664,35.02970176801094
10003878,508743.2466269677,14.463042216099586
10003461,585864.8725507658,15.945176754695678
10000917,461015.86412928515,13.122834696176316
10003453,40743.301748592545,1.0491825828501185
10000023,NA,NA
10000312,541210.3802493268,14.60582004211032
10002115,0,0
10003911,53030.51797957451,1.4903105424533074
10006510,0,0
10004525,667972.4632030427,17.305545989869593
10001550,444284.8378145682,12.97702404394247
10005208,0,0
10006354,NA,NA
10001636,NA,NA
10001614,0,0
10001552,430088.7988646893,11.638815050594049
10003900,69677.29840395937,1.9161404512832947
10006353,NA,NA
10002364,NA,NA
10004035,463570.1661565888,11.909102783118454
10001569,1315753.1515059501,19.495351189024106
10004491,459381.0321261164,8.157550381931282
10000918,411601.54172470444,12.184850262033226
10001543,547668.1534763856,11.26848587082048
10001548,NA,NA
10000919,NA,NA
10002146,27532.088291711018,0.5920093211983645
10002134,720227.8980038335,15.615995613853052
10001559,NA,NA
10001542,425816.7387328314,8.376361469034975
10004740,NA,NA
10004027,458931.5395875147,9.543646160995904
10000060,0,0
10004028,111338.92966759448,2.173762443674339
10005832,NA,NA
10000417,1469597.1393314353,26.356858207264334
10000915,0,0
10000474,2424583.664312044,63.929430977073984
10000445,2546110.5583895687,67.98149690155309
10006548,NA,NA
10006329,1192528.4830678245,32.01420882867059
10000533,2774559.3358472628,73.90575623478516
10000492,646393.7645335923,16.714822901200836
10002176,2947956.940982653,70.56616708128074
10000409,135224.88466134667,2.6178156932475645
10006208,1139990.3812784483,29.05394373580787
10001555,0,0
10002152,187051.702216292,4.878628236951172
10001574,1786339.0167548861,48.35344679298154
10002223,715800.0984488494,19.248305121604414
10001448,842969.699639431,23.052471034584805
10000509,0,0
10001437,117499.47304068644,3.557555123997437
10004586,656502.6539455871,19.297898326940683
10004556,637386.8541194315,16.212011797260768
10000433,2001164.672174305,53.570131441169956
10001176,NA,NA
10006168,3819861.717330369,94.46105736173124
10002225,0,0
10004585,NA,NA
10004239,1129745.28833839,31.966518181457566
10000413,3482208.3420686177,94.09934515405868
10001042,1339886.756572575,32.74078165429715
10001936,0,0
10004580,1718835.5481976052,34.828156289694675
10006297,1023098.0676178519,29.33704533658228
10001867,257757.6543898429,7.497022588579129
10001061,787739.7392195064,15.661527871905983
10001166,302210.91747987433,6.977585196458734
10000438,412855.2034732096,8.729127081541685
10006511,274218.70309106,6.649548562775759
10000187,1062758.1616597064,18.066098673893507
10002941,NA,NA
10006328,3226928.5046361634,83.7507431614885
10001068,123543.64148006782,2.2826320398684654
10000186,621568.6322386749,11.185135561373475
10000205,67333.26737252803,1.2716148930577793
10004903,825697.2902026492,20.71913123596385
10000285,97549.30192269135,2.0916171029985846
20000140,701444.5881511705,19.00340300211573
10004256,1892859.7317746435,54.36554753093643
10004895,478503.91354354616,12.587360471127566
20000201,531183.2662482196,13.335771674981487
10004822,867394.8499454984,25.876182354361845
10003759,0,0
10000099,0,0
10001072,NA,NA
10006203,0,0
10001051,713142.665986593,11.201309458477473
10006382,172908.49871160655,4.938034454263028
10003203,NA,NA
10001748,884051.2980246445,18.232226506725656
10000292,1456854.8933902935,32.08853336867736
10006176,57560.58842846495,1.5935336538401061
10000123,0,0
10006333,1344994.5592065037,39.59683152593476
10004168,741660.806951114,20.460714723456263
10001760,281850.1404930847,6.5407798906964745
10000314,51905.12113719044,1.1440403911328558
10002106,197252.34063291666,4.200605492669491
10006153,15946.844524695785,0.32189921764324186
10002129,1428.45388678949,0.031080233623801756
10003618,108854.66453527202,2.8274426953787133
10003973,0,0
10000580,0,0
10001421,NA,NA
10001980,1239806.6104020379,28.93754429290879
10006661,0,0
10000378,NA,NA
10004496,285744.92904491606,7.0700053765709825
10000297,156850.0115954243,3.3885559504727327
10000323,16352.136357812058,0.3834284204442546
10005199,0,0
10000284,1422660.6012797276,30.621188527107574
10000303,716781.5091895153,15.491206240380487
10000565,NA,NA
10000496,580349.5485247317,14.11595077744916
10002137,10096.389068165709,0.21409071377055333
10002108,211322.53171286662,5.640951934719758
10000304,162301.0409134002,3.800482258359212
10000310,99086.7804516186,2.08417346618763
10001975,0,0
10000283,297787.029396485,7.005536087205426
10000601,104299.08885455574,2.041193741384057
10000258,710355.1077699154,14.679418122276905
10000579,0,0
10002126,0,0
10004453,0,0
10000582,0,0
10006542,113915.10462176944,3.371369066214383
10000318,1230116.2849828126,26.646118526703294
20000200,1142785.5098876401,23.133394604112418
10003952,0,0
10001391,NA,NA
10005201,110194.53248042721,2.9634050423219405
10004724,NA,NA
10000639,153095.87152884743,2.3407871712788677
10003386,337358.35870809347,8.110440959964356
10002142,288300.03275869304,6.695772733079595
10004514,1424067.6967148776,37.79130536927774
10001040,175443.2451034403,3.6116441727490725
10000925,0,0
10001593,0,0
10002088,NA,NA
10000226,127547.36417406914,2.6956265362443674
10002095,181013.53731666724,5.190687617571883
10001362,369764.7868661739,7.14638507460129
10000277,250683.68610228618,5.0420144093721735
10000272,418.4414102715471,0.009068736177531145
10001389,264694.52299801895,5.0734236560534836
10000694,0,0
10001386,1063533.3840008476,18.04326922608634
10003824,499680.5864273416,9.803971707522836
10001341,NA,NA
10004594,510061.28300923354,10.130427815041564
10004647,NA,NA
10006385,NA,NA
10002872,453065.0592505151,13.063086118167694
10005771,744285.1522944343,20.341547590387357
10000274,207907.52766817415,3.1947091485287746
10002701,0,0
10001383,0,0
10001457,753206.5414053935,22.117249626692743
10003076,NA,NA
10005124,NA,NA
10000264,NA,NA
10004592,126691.00956290394,2.542583757511161
10004593,344771.3730748063,6.829168247697208
10003978,93314.51821013412,2.117908035195938
10006179,0,0
10001214,265770.4595680686,6.6573662105074245
10001223,700799.3737115172,16.148503719459026
10000149,202659.28354380088,4.857573656582644
10001957,173.70770935044285,0.003960298498314907
10000132,30956.794223515815,0.6758994660110094
10000140,410392.93425093545,9.861407722146865
10000142,297889.9021250716,8.723594248603685
10000278,633794.4573514323,14.100015636363144
10001226,1288762.907491941,35.65801630381034
10004622,1096237.2058978404,32.00052512617258
10003698,1420037.7059079958,36.48191960099338
10000139,915898.2654222306,21.429508955533755
10000129,920094.9416905397,17.318102500994602
10000864,1514286.2571960245,31.39153981591794
10006334,735268.3027482859,21.74458493304739
10001191,0,0
10003721,NA,NA
10001209,NA,NA
10003710,NA,NA
10003728,22345.977247157785,0.5538361890347411
10006241,1102269.2201596212,30.751933367948187
10000146,48650.34742401556,1.284066548417663
10000143,929506.4077617594,20.705220090121212
10000150,117324.82416209592,3.392627521352613
10001222,NA,NA
10000124,64167.26580023027,1.3602369184489205
10000127,258694.21279465593,6.902991816827071
10000355,111021.37915622962,2.985789746831425
10003732,NA,NA
10006524,0,0
10001345,0,0
10003736,NA,NA
10001180,468416.68207431433,11.040648819094292
10000079,1063329.7073210808,27.03714856419326
10001185,571335.41188802,15.48189592673315
10001183,0,0
10003083,NA,NA
10004339,8195.919225101437,0.2314652053286378
10003712,NA,NA
10001582,0,0
10001182,550684.5749983096,13.313058247510606
10003307,7386.455565981634,0.17073740115922792
10006522,395243.52491478523,10.902667561252596
10001173,NA,NA
10000083,1209631.814928672,28.634608478009778
10003308,46350.630824036176,1.2636859210495643
10006529,NA,NA
10001187,3792.232778044605,0.09915337563243115
10001172,NA,NA
10001175,NA,NA
10004335,NA,NA
10006525,3457327.1630195887,88.92191851823937
10001909,117623.19676460225,3.3556460439686324
10001178,0,0
10000262,1088316.5636319537,15.60608603594952
10006526,467343.19874159433,13.222045902107233
10000621,0,0
10000087,537000.4566409761,15.463647659610025
10000081,922078.7722994325,23.88137946977825
10001578,220208.26388497505,4.848293020587619
10000439,NA,NA
10000090,2585731.1413924065,68.29273028119103
10001318,0,0
10006528,250340.19524179347,6.698465196161256
10000941,49200.38856726102,0.9030869971673304
10002066,1540951.807055529,26.4557023937884
10000043,343194.5179340334,7.278309123553458
10001330,1040719.0162117997,23.260061429940176
10002117,4893.456472433243,0.12448150646614797
10002248,551288.7059311079,10.280405579288917
10001090,1345035.3380261157,22.720544816691397
10001099,45808.51229644518,0.9848616381405687
10000605,541365.2126295358,4.133930200738313
10001080,871377.7478734872,19.682658302193207
10005863,NA,NA
10001096,110050.62556050597,2.6451533595549233
10002246,234099.96234451537,5.40341305136907
10004633,199281.79168415765,5.5446930686171125
10002105,199997.59195472056,5.711602121287007
10006311,NA,NA
10006544,0,0
10001853,427008.0187074661,12.846031024874783
10001949,NA,NA
10001869,173518.22457599477,5.071806034141768
10000576,840084.6707937887,16.094011708016843
10002228,NA,NA
10001745,121119.89191911588,2.6816992720119703
10001181,728190.8837356105,13.339518984482071
10002204,0,0
10000683,1263249.5324976374,24.12889929314746
10002217,880210.2215139184,23.8929780977789
10000572,151960.72327060273,4.328622833204226
20000220,9286.89800002333,0.1824859256286202
10000682,0,0
10000685,NA,NA
10000676,0,0
10000662,0,0
10000644,1441949.529021711,27.16843740270835
10002401,826291.1353963921,24.383637173711865
10002399,356720.61298283766,9.868851642072503
10006633,314196.9480161335,8.51619164003211
10000660,0,0
10002400,188865.54798565875,4.804268227967297
10005380,70262.43120543825,1.94286069180712
10000652,577078.392457124,9.909589455355427
10000678,0,0
10000695,NA,NA
10004734,NA,NA
10000665,2033971.3369141414,37.917085577641124
10002395,951248.8310957486,26.3138308447084
10002258,0,0
10000677,NA,NA
10000669,451829.45547992515,10.091735007493616
10002396,1017128.0103125136,26.868246526532687
10000646,81663.51102675826,1.90566268383568
10000674,NA,NA
10000688,0,0
10002259,135125.3545794408,2.7278182163079276
10000720,647930.9441896271,14.415019055359679
10000672,0,0
10000708,219939.53927285984,6.105385660195208
10006352,163917.2410724439,4.094460807770279
10000707,371240.33018547314,8.330089208451302
10000664,1906957.4735152416,42.53900750456642
10000336,1213903.204678974,25.86688522811752
10000673,0,0
10000771,9698.57164404531,0.2414997837514293
10002153,519119.64570166636,10.512814078834111
10000422,3347717.2647513775,69.4837400557236
10004712,1922679.032867699,42.59062404903168
10000693,1160834.4589984869,25.189402143383603
10000368,945328.5866437664,19.00165151698278
10000339,10725.52272858034,0.20160989484784847
10001065,1019108.7935586639,22.08281818555892
10004575,1358500.0584711474,27.009147610116795
10004555,198527.7608347516,3.8663062039781178
10004920,6460.04156990669,0.1288312546382159
10000395,812195.1051883413,16.355794552869877
10001054,0,0
10001060,677185.4795014029,13.89871719402331
10000396,1535940.865974166,33.18187561629843
10001075,0,0
10001071,873447.769319767,16.25330756113398
10000585,NA,NA
10000432,2882445.395654956,57.18014396417126
10001059,0,0
10003012,207522.34366910494,5.379243972912628
10006309,417545.55468126974,7.552255148107315
10001073,938812.7978541953,17.459229199905494
10003002,0,0
10000560,854098.1995146484,20.512580101224824
10002997,456177.8496889545,12.482977658743028
10003006,0,0
10002192,1385151.8422879276,37.76679951253122
10000562,0,0
10002210,52065.539137135,1.439999970867952
10004913,1695525.0791822723,34.69915018090248
10000261,48755.16362892317,1.149529004860178
10002843,2600894.7075472563,58.41018557216465
10000385,1947471.9085852823,41.305658956339606
10001063,0,0
10000414,1222670.846308811,26.2027895140228
10005258,0,0
10001052,0,0
10002991,0,0
10000428,NA,NA
10000260,184515.3318104495,5.369360025103358
10000384,2065182.938056923,41.11340722814729
10000871,651086.287628754,18.917945237446666
