FACILITYID,pesticide_mean_kg
10004639,1004.3499999999999
10000450,10109.800000000003
10006936,NA
10004024,7725.950000000001
10004650,32964.7
10006939,99023.75000000001
10006303,4193.699999999999
10001082,325759.75
10001091,263586.8
10000356,19881.749999999993
10003943,93820.65000000001
10002237,6213.850000000001
10001866,176483.50000000003
10000630,23418.4
10001077,446682.25
10001087,176483.50000000003
10001100,250409.75
10006663,337321.8999999999
10006658,270948.45
10006541,518444.5000000001
10001089,176483.50000000003
10005639,270124
10001856,221884.55
10006643,1559.5
10004286,370649.54999999993
10003486,20379.4
10003587,78033.05000000002
10003472,19697.050000000003
10005043,698.1
10000360,11530.649999999998
10003891,23564.449999999997
10004517,10603.2
10006331,5332
10004522,90730.34999999998
10000295,231.49999999999994
10003878,9026.100000000002
10003461,1693.9999999999995
10000917,NA
10003453,6345.299999999999
10000023,4032.5999999999995
10000312,770.8500000000001
10002115,569.75
10003911,444.74999999999994
10006510,32204.700000000004
10004525,112048.24999999996
10001550,NA
10005208,11696.300000000003
10006354,31399.5
10001636,319588.74999999994
10001614,178059.40000000005
10001552,NA
10003900,4592.15
10006353,10774.900000000003
10002364,24390.35
10004035,NA
10001569,23278.299999999996
10004491,1710.65
10000918,NA
10001543,4617
10001548,79230.69999999998
10000919,10774.900000000003
10002146,79769.04999999999
10002134,2011.95
10001559,10774.900000000003
10001542,4617
10004740,18653.4
10004027,77006.74999999999
10000060,24736.15
10004028,169573.15000000002
10005832,10774.900000000003
10000417,9332.8
10000915,79230.69999999998
10000474,114637.4
10000445,10109.800000000003
10006548,153374.85
10006329,10109.800000000003
10000533,1004.3499999999999
10000492,138252.8
10002176,114637.4
10000409,18278.9
10006208,9332.8
10001555,NA
10002152,29124.450000000004
10001574,16332.849999999999
10002223,17467.850000000002
10001448,22222.450000000004
10000509,47778.45
10001437,7083.85
10004586,36253.54999999999
10004556,55762.499999999985
10000433,5332
10001176,41478.600000000006
10006168,103861.5
10002225,1945.1
10004585,36253.54999999999
10004239,288618.25
10000413,8497.2
10001042,457018.30000000005
10001936,5152.6
10004580,9332.8
10006297,1004.3499999999999
10001867,518444.5000000001
10001061,213832
10001166,1422.6
10000438,36253.54999999999
10006511,1093.4
10000187,17477.45
10002941,130520.6
10006328,32964.7
10001068,175802.69999999998
10000186,17477.45
10000205,1649.1
10004903,223593.65000000005
10000285,928.7500000000002
20000140,331446.85
10004256,5036.25
10004895,153532.55000000002
20000201,2785.3999999999996
10004822,73054.70000000001
10003759,NA
10000099,59307.94999999999
10001072,207132.2
10006203,NA
10001051,294515.9
10006382,16361.199999999999
10003203,7680.6500000000005
10001748,6731.050000000001
10000292,231.49999999999994
10006176,2207.95
10000123,NA
10006333,22222.450000000004
10004168,1566.2
10001760,1566.2
10000314,770.8500000000001
10002106,1675.8500000000004
10006153,2323.1499999999996
10002129,1710.65
10003618,193535.15
10003973,210974.55000000002
10000580,1945.1
10001421,1858.6000000000001
10001980,128547.20000000001
10006661,199671.65
10000378,11703.5
10004496,44333.79999999999
10000297,1672.5
10000323,91565.9
10005199,729.25
10000284,14939.3
10000303,23604.85
10000565,769364.6000000001
10000496,52284.05
10002137,271717
10002108,1697.4
10000304,323.65
10000310,28095.1
10001975,103066.85000000002
10000283,21594.1
10000601,110834.65
10000258,11355
10000579,1945.1
10002126,26435.300000000003
10004453,11333.55
10000582,1945.1
10006542,363148.94999999995
10000318,65701.45
20000200,2785.3999999999996
10003952,2729.0499999999993
10001391,1720
10005201,81267.34999999998
10004724,463593.25
10000639,156184.29999999993
10003386,42126.649999999994
10002142,6604.500000000001
10004514,10603.2
10001040,102379.64999999997
10000925,54463.75
10001593,82287.75
10002088,102188.79999999999
10000226,9771.050000000003
10002095,10.6
10001362,115889.1
10000277,131125.9
10000272,150964.34999999998
10001389,196147.45
10000694,111979.40000000002
10001386,131125.9
10003824,55770.25
10001341,2393.2000000000007
10004594,20332.800000000003
10004647,32964.7
10006385,50897.90000000002
10002872,21156.25
10005771,6618.399999999999
10000274,53328.20000000001
10002701,59307.94999999999
10001383,84737.5
10001457,7607.600000000002
10003076,59279.9
10005124,9153.65
10000264,1155.35
10004592,20332.800000000003
10004593,20332.800000000003
10003978,210974.55000000002
10006179,1281357.5000000005
10001214,27589.850000000006
10001223,7961.4000000000015
10000149,89720.25
10001957,89720.25
10000132,1185.0499999999997
10000140,27589.850000000006
10000142,5758.9000000000015
10000278,131125.9
10001226,62277.399999999994
10004622,87360.4
10003698,42114.4
10000139,27589.850000000006
10000129,224875.3
10000864,96727.69999999998
10006334,114637.4
10001191,NA
10003721,9022.750000000002
10001209,104463.95000000001
10003710,6755.800000000001
10003728,27589.850000000006
10006241,27589.850000000006
10000146,114042.55000000002
10000143,28384.19999999999
10000150,44094.75
10001222,24615.5
10000124,NA
10000127,NA
10000355,9347.500000000002
10003732,19434.250000000004
10006524,45449.09999999999
10001345,1540.6499999999999
10003736,24615.5
10001180,17802.4
10000079,321585
10001185,17802.4
10001183,17802.4
10003083,29290.499999999993
10004339,17802.4
10003712,28792.999999999996
10001582,4091.1
10001182,17802.4
10003307,1529.4
10006522,15097.550000000003
10001173,40164.04999999999
10000083,321585
10003308,1529.4
10006529,11895.399999999998
10001187,28289.049999999996
10001172,9424.399999999998
10001175,41478.600000000006
10004335,63463.45
10006525,1984.85
10001909,193535.15
10001178,66895.5
10000262,173944.90000000002
10006526,91726.49999999999
10000621,210974.55000000002
10000087,91726.49999999999
10000081,321585
10001578,9022.850000000002
10000439,36253.54999999999
10000090,452463.7499999999
10001318,10196.900000000001
10006528,358698.1
10000941,113149.20000000001
10002066,308955.6000000001
10000043,2315.8999999999996
10001330,30035.65
10002117,390.6499999999999
10002248,41499.95000000001
10001090,395373.35
10001099,270948.45
10000605,110834.65
10001080,424563.05
10005863,7800.050000000001
