FACILITYID,trafficProx
10004639,603.7515809659095
10000450,214.5614294327476
10006936,0
10004024,0
10004650,16168.671419223363
10006939,254.27379569922502
10006303,0
10001082,78.66642447739808
10001091,84.20262065940614
10000356,42.23351543226004
10003943,11.277470324965284
10002237,0
10001866,455.76835012112673
10000630,265.95947094066673
10001077,87.57592611302313
10001087,0
10001100,5.082356491967689
10006663,0
10006658,2.5451155435538166
10006541,65.7030106298262
10001089,137.17884697298035
10005639,139.6162247887098
10001856,1067.5764374335477
10006643,0
10004286,0
10003486,55.037016165517855
10003587,0
10003472,748.7781777530975
10005043,0
10000360,0
10003891,33.82512294369005
10004517,0
10006331,0
10004522,45.064746093046054
10000295,55.268006112261894
10003878,390.6100229150852
10003461,90.74437239038339
10000917,4194.06960090066
10003453,125.19983705167162
10000023,0
10000312,61.66338594676384
10002115,137.8297364287562
10003911,80.40956425945271
10006510,0
10004525,26.643223869620403
10001550,2653.9624652848015
10005208,25.826512298102333
10006354,0
10001636,0
10001614,35.69551628767258
10001552,3485.6919936834443
10003900,412.58257034326095
10006353,0
10002364,487.51100038819743
10004035,4369.8288186720265
10001569,188.63440886059868
10004491,258.1377428621864
10000918,3701.689471510443
10001543,57.35273286344496
10001548,0
10000919,55.892894059241584
10002146,0
10002134,0
10001559,0
10001542,231.44824899690653
10004740,0
10004027,0
10000060,0
10004028,4.93456840359004
10005832,266.03398433591013
10000417,0
10000915,70.63958137836649
10000474,0
10000445,0
10006548,0
10006329,0
10000533,116.69859104663875
10000492,0
10002176,0
10000409,0
10006208,0
10001555,785.1409550243412
10002152,0
10001574,0
10002223,166.13088219984917
10001448,130.58833329992024
10000509,0
10001437,406.64044857539193
10004586,37.57398744290966
10004556,0
10000433,0
10001176,0
10006168,0
10002225,0
10004585,0
10004239,0
10000413,0
10001042,25.421392456779763
10001936,168.95355729793803
10004580,0
10006297,121.11113671668843
10001867,160.80136273255042
10001061,38.94461715432552
10001166,0
10000438,0
10006511,101.67048266695265
10000187,0
10002941,0
10006328,0
10001068,0
10000186,0
10000205,0
10004903,0
10000285,121.909743869056
20000140,100.0372575932689
10004256,67.33389513923049
10004895,0
20000201,243.29835780061887
10004822,69.18894905190749
10003759,0
10000099,0
10001072,119.3321564145366
10006203,0
10001051,0
10006382,971.9749631083163
10003203,0
10001748,0
10000292,57.773116651417006
10006176,0
10000123,0
10006333,31.059958756751847
10004168,0
10001760,0
10000314,0
10002106,0
10006153,240.24938879401824
10002129,0
10003618,473.73999890177026
10003973,0
10000580,0
10001421,0
10001980,0
10006661,0
10000378,0
10004496,89.13798206440472
10000297,0
10000323,18.5329588312886
10005199,154.351652604497
10000284,0
10000303,0
10000565,46.49549747896627
10000496,0
10002137,18.76358646568002
10002108,0
10000304,46.36602895951632
10000310,0
10001975,23.27788664909996
10000283,0
10000601,0
10000258,14.605196233874878
10000579,0
10002126,0
10004453,0
10000582,0
10006542,0
10000318,0
20000200,0
10003952,0
10001391,9.943050843920737
10005201,0
10004724,593.2972934190516
10000639,643.890350959171
10003386,0
10002142,0
10004514,0
10001040,0
10000925,0
10001593,0
10002088,0
10000226,35.53960428575554
10002095,320.57467348252993
10001362,21.24009641393118
10000277,353.1184786650822
10000272,49.65530441616487
10001389,96.58923653557791
10000694,0
10001386,257.0796003136834
10003824,11.197580170943304
10001341,0
