FACILITYID,trafficProx
10004639,0
10000450,0
10006936,0
10004024,0
10004650,0
10006939,0
10006303,0
10001082,0
10001091,0
10000356,0
10003943,0
10002237,0
10001866,0
10000630,0
10001077,0
10001087,0
10001100,0
10006663,0
10006658,0
10006541,0
10001089,0
10005639,0
10001856,0
10006643,0
10004286,0
10003486,0
10003587,0
10003472,0
10005043,0
10000360,0
10003891,0
10004517,0
10006331,0
10004522,0
10000295,0
10003878,0
10003461,0
10000917,0
10003453,0
10000023,0
10000312,0
10002115,0
10003911,0
10006510,0
10004525,0
10001550,0
10005208,0
10006354,0
10001636,0
10001614,0
10001552,0
10003900,0
10006353,0
10002364,0
10004035,0
10001569,0
10004491,0
10000918,0
10001543,0
10001548,0
10000919,0
10002146,0
10002134,0
10001559,0
10001542,0
10004740,0
10004027,0
10000060,0
10004028,0
10005832,0
10000417,0
10000915,0
10000474,0
10000445,0
10006548,0
10006329,0
10000533,0
10000492,0
10002176,0
10000409,0
10006208,0
10001555,0
10002152,0
10001574,0
10002223,0
10001448,0
10000509,0
10001437,0
10004586,0
10004556,0
10000433,0
10001176,0
10006168,0
10002225,0
10004585,0
10004239,0
10000413,0
10001042,0
10001936,0
10004580,0
10006297,0
10001867,0
10001061,0
10001166,0
10000438,0
10006511,0
10000187,0
10002941,0
10006328,0
10001068,0
10000186,0
10000205,0
10004903,0
10000285,0
20000140,0
10004256,0
10004895,0
20000201,0
10004822,0
10003759,0
10000099,0
10001072,0
10006203,0
10001051,0
10006382,0
10003203,0
10001748,0
10000292,0
10006176,0
10000123,0
10006333,0
10004168,0
10001760,0
10000314,0
10002106,0
10006153,0
10002129,0
10003618,0
10003973,0
10000580,0
10001421,0
10001980,0
10006661,0
10000378,0
10004496,0
10000297,0
10000323,0
10005199,0
10000284,0
10000303,0
10000565,0
10000496,0
10002137,0
10002108,0
10000304,0
10000310,0
10001975,0
10000283,0
10000601,0
10000258,0
10000579,0
10002126,0
10004453,0
10000582,0
10006542,0
10000318,0
20000200,0
10003952,0
10001391,0
10005201,0
10004724,0
10000639,0
10003386,0
10002142,0
10004514,0
10001040,0
10000925,0
10001593,0
10002088,0
10000226,0
10002095,0
10001362,0
10000277,0
10000272,0
10001389,0
10000694,0
10001386,0
10003824,0
10001341,0
10004594,0
10004647,0
10006385,0
10002872,0
10005771,0
10000274,0
10002701,0
10001383,0
10001457,0
