object_id,wildfire_risk
1,148.3684210526316
2,200.859649122807
3,84.14814814814815
4,35.40350877192982
5,123.55357142857143
6,188.26415094339623
7,204.29090909090908
8,164.56140350877192
9,256.35714285714283
10,434.92857142857144
11,313.25454545454545
12,1254.351851851852
13,82.47368421052632
14,444.76363636363635
15,101.50877192982456
16,43.035714285714285
17,465.82456140350877
18,128.12280701754386
19,57.8421052631579
20,344.74545454545455
21,14.824561403508772
22,0
23,1961.7719298245613
24,94.36363636363636
25,84.70689655172414
26,112.21428571428571
27,192.05357142857142
28,4530.877192982456
29,417.12068965517244
30,183.55555555555554
31,142.78571428571428
32,768.561403508772
33,725.3508771929825
34,26.07017543859649
35,40.175438596491226
36,35.654545454545456
37,62.25
38,186
39,845.6428571428571
40,114.71929824561404
41,79.8
42,123.15517241379311
43,71.84210526315789
44,1213.392857142857
45,423.63793103448273
46,599.6842105263158
47,181.28571428571428
48,374.5
49,243.47169811320754
50,1091.2592592592594
51,132.67307692307693
52,402.7413793103448
53,168.6551724137931
54,420.6545454545454
55,2108.309090909091
56,214.3684210526316
57,549.9285714285714
58,113.11111111111111
59,78.65517241379311
60,275.7368421052632
61,1447.982142857143
62,42.410714285714285
63,51.8421052631579
64,95.0701754385965
65,97.33333333333333
66,6193.345454545454
67,819.2592592592592
68,1135.5263157894738
69,368.8965517241379
70,275.5660377358491
71,85.92727272727272
72,149.24561403508773
73,454.9122807017544
74,4.892857142857143
75,91.89090909090909
76,4.724137931034483
77,407.0576923076923
78,58.63157894736842
79,339.140350877193
80,8.53448275862069
81,104.47272727272727
82,23.508474576271187
83,221.91379310344828
84,104.42857142857143
85,79.78947368421052
86,117.07407407407408
87,104.96363636363637
88,96.94545454545455
89,940.6034482758621
90,18.836363636363636
91,288.4642857142857
92,268.86538461538464
93,145.76785714285714
94,209.55555555555554
95,331.0740740740741
96,285.62068965517244
97,414.68518518518516
98,35.05357142857143
99,72.98214285714286
100,1322.4912280701753
101,101.29310344827586
102,114.5
103,8768.689655172413
104,1813.709090909091
105,199.0344827586207
106,509.94642857142856
107,93.27272727272727
108,122.82692307692308
109,1095.9454545454546
110,174.78571428571428
111,211.5344827586207
112,7485.517241379311
113,189.08928571428572
114,120.49122807017544
115,7556.018181818182
116,1750.2857142857142
117,430.54237288135596
118,278.96363636363634
119,579.0925925925926
120,306.1090909090909
121,735.290909090909
122,132.9814814814815
123,1551.6727272727273
124,898.6909090909091
125,434.3392857142857
126,1262.4464285714287
127,127.78571428571429
128,321.8181818181818
129,896.3214285714286
130,687.1428571428571
131,336.5964912280702
132,428.9642857142857
133,4.836363636363636
134,133.89655172413794
135,4.444444444444445
136,86.32758620689656
137,154.27777777777777
138,1283.9814814814815
139,126.85714285714286
140,43.41379310344828
141,103.81818181818181
142,110.07407407407408
143,2461.6315789473683
144,247.52631578947367
