object_id,trafficProx
1,143.82843536252568
2,0
3,0
4,123.46858075880914
5,0
6,0
7,0
8,6150
9,0
10,0
11,49.95629699629272
12,0
13,351.27086992861837
14,0
15,324.4223704726285
16,68.19918229212905
17,0
18,247.9826330388322
19,3239.76539629992
20,0
21,245.26290777706095
22,5130.340818158362
23,0
24,5499.692056932531
25,34.359133854264826
26,5449.882743409188
27,0
28,0
29,0
30,234.51024616433315
31,349.2531109522977
32,0
33,0
34,36.5466957161055
35,0
36,15022.270341028758
37,12515
38,168.72392707826447
39,0
40,8075.241737532428
41,40.20082656013077
42,0
43,14.187763977981177
44,0
45,68.31583711730515
46,245.14011800953648
47,0
48,38.63904487014081
49,2404.6673217996445
50,0
51,8.280529420548486
52,0
53,274.3436085523053
54,0
55,0
56,274.82123955852927
57,0
58,0
59,0
60,0
61,0
62,12632.11055897718
63,0
64,0
65,0
66,0
67,22.15126540412181
68,0
69,0
70,110.14880451030807
71,0
72,0
73,0
74,16481.86751070873
75,28.849213323102642
76,173.34819924973843
77,0
78,71.70551696999598
79,0
80,461.3030409943926
81,77.58522762731685
82,65.35103270583863
83,66.60578224340891
84,40.38746223218637
85,368.7042711250157
86,0
87,99.63579865436435
88,0
89,0
90,17.23866988333924
91,45.599260951269486
92,15.456648018069734
93,10884.288730942795
94,0
95,93.16045086947312
96,39.57242829176525
97,0
98,46.29167548786484
99,0
100,0
101,83.4797742530362
102,5755
103,0
104,0
105,206.24373049566708
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,12253
119,291.7408554131363
120,0
121,7509.094889057701
122,0
123,81.93043791716376
124,0
125,18.816935629052562
126,0
127,6731.2801353080595
128,0
129,140.0503095699412
130,0
131,368.42257687198634
132,95.99514054003713
133,385.9091064884031
134,62.68420218340673
135,53625.11510596656
136,17.057984203680117
137,838.1154772702499
138,0
139,0
140,10122.063997912832
141,0
142,370.19490804031597
143,0
144,40.328190666087664
145,0
146,0
147,9960
148,24.537626636200503
149,0
150,0
151,28250
152,0
153,0
154,0
155,0
156,59.23846204723044
157,0
158,24.57621365523031
159,0
160,335.2762247679823
161,580.8564403719948
162,52.735113986918286
163,0
164,17444.602982767698
165,47.312090029972865
166,245.34292513911612
167,108.80346540255849
168,14.026316218232202
169,293.2872378705029
170,21.9698851513207
171,12.565498320586816
172,0
173,2449.852465212176
174,4219
175,45.874860849902745
176,98.3845055025812
177,0
178,19680.632143549556
