object_id,flood_risk_area_m2,flood_risk_percent
1,281791.4315415106,6.910065232751517
2,1023884.9765258654,25.10693688507444
3,56407.82443493859,1.3831857476550302
4,377638.19238660607,9.260081690248482
5,31722.929496060708,0.7778772497922538
6,668635.2276870129,16.395409298219768
7,0,0
8,1542640.7278005448,37.82546922931052
9,373946.0526166837,9.169090064659233
10,NA,NA
11,380067.41974914045,9.318126093349713
12,583825.060198139,14.313382387716908
13,1207176.110424479,29.595710722656538
14,475417.09466658975,11.655539360182466
15,244542.56568188462,5.995222830397863
16,NA,NA
17,719918.3332905796,17.649534647488032
18,41020.97396294704,1.0056705063946827
19,2370817.3744610054,58.122789377661
20,NA,NA
21,63257.55064502551,1.5507946189832509
22,423972.6950802882,10.393923634676948
23,0,0
24,98766.95068950733,2.421312046088732
25,84198.62075424432,2.064162171717144
26,56014.39501032941,1.3732139525674
27,330321.2114623328,8.097938257180779
28,0,0
29,210004.4361329706,5.148238283009328
30,NA,NA
31,NA,NA
32,300752.8322281339,7.372803023414741
33,0,0
34,703666.7258450886,17.24993274299365
35,237683.76162248358,5.826659289498946
36,0,0
37,120171.10495952598,2.945912795583977
38,40004.44577497126,0.9806817431564446
39,0,0
40,258727.56632713316,6.342513764415612
41,284531.05164804717,6.975053548080943
42,218159.74029364838,5.348009938207357
43,192574.30220398668,4.720794467562553
44,22359.081232260152,0.5481137710120354
45,296469.27699434443,7.267690998326184
46,866698.704634135,21.246268865893413
47,879640.347207764,21.563520543107785
48,148503.11926579123,3.640373239264995
49,721310.9729584175,17.6819469976022
50,0,0
51,457923.86235949455,11.225294668644578
52,0,0
53,0,0
54,0,0
55,271411.64887238713,6.653082575876956
56,855325.9577494435,20.966493497724834
57,269809.5568564351,6.613806430402852
58,697495.3055761348,17.0975674097814
59,363013.55807413463,8.898463935525928
60,994359.5923084323,24.374497244795183
61,0,0
62,1763961.6261229953,43.23828973939372
63,275595.3818949954,6.755018233585741
64,840899.4655041058,20.610954741580986
65,607976.7271479702,14.901877479098971
66,0,0
67,0,0
68,0,0
69,696630.9787680237,17.07440939876151
70,0,0
71,716322.2780652415,17.55689658303752
72,0,0
73,0,0
74,0,0
75,99967.13483099507,2.450167098618989
76,0,0
77,0,0
78,215096.8269256368,5.271954200696465
79,0,0
80,69764.1614381354,1.709895019957176
81,368596.05891361187,9.034159552982247
82,80763.6478536392,1.9794860233497165
83,17990.568711196254,0.4409419369028882
84,767872.6596271415,18.82024019914145
85,331599.83479348256,8.127353523984002
86,0,0
87,1916220.5740449992,46.96553055699113
88,666557.0846860894,16.33655679100332
89,2337.881454312632,0.057298158745803726
90,1868353.1716525063,45.79036452266186
91,7861.00166284478,0.19265990873549826
