object_id,flood_risk_area_m2,flood_risk_percent
1,0,0
2,1324152.7527230072,42.123294554033784
3,0,0
4,NA,NA
5,750134.1979113615,23.85177074025378
7,985507.0943272181,31.398141081092017
8,262335.441374208,8.344687765319012
9,300779.4332587308,9.5690203995163845
10,0,0
11,804109.3534129629,25.58667396591478
12,0,0
13,0,0
14,710090.0216496147,22.589184291278467
15,457100.3265271937,14.589526133228112
16,0,0
17,NA,NA
18,148339.6427600602,4.717559855347556
19,400398.87614756904,12.75531110217671
20,399648.2206548364,12.737571773242243
21,1281751.528792048,40.85273766987853
22,0,0
23,2403707.416006471,76.39813274014038
24,0,0
25,NA,NA
26,128637.38374229269,4.092082650679064
27,NA,NA
28,NA,NA
29,1523178.4734314312,48.42799206780426
30,NA,NA
31,NA,NA
32,NA,NA
33,51190.23335134663,1.6316555926564336
34,723998.2388177532,23.085666378049034
35,NA,NA
36,NA,NA
37,875787.4249398549,27.92662030954347
38,1252059.0994664363,39.9330238509745
39,816912.518973784,26.018210594867508
40,3143094.4733614796,100.00000000000438
41,87295.77171284363,2.7789257944034413
42,2887144.4725838867,91.88824831769054
43,446787.1714676894,14.246891625518701
44,341846.51532537496,10.897204429303137
45,0,0
46,11327.063442899296,0.36010852476164423
47,147155.54732891524,4.691458813118359
48,727970.6559514903,23.16380244019963
49,0,0
50,0,0
51,1426453.5769888605,45.33782355609658
52,1140956.154239561,36.26369203391888
53,NA,NA
54,0,0
55,0,0
56,1011.4215743814095,0.03221459344439974
57,NA,NA
58,NA,NA
59,0,0
61,727494.4474894681,23.142291582874723
62,777256.9135706954,24.72567706407932
63,62633.73761893207,1.992711420581397
64,576164.4107598263,18.331495705997124
65,70712.1276044892,2.2566282545902285
66,0,0
67,1838.0257048775159,0.05858193681530102
68,NA,NA
69,1203493.4770231622,38.372349605239634
70,285269.2516493345,9.069372828133131
71,NA,NA
72,NA,NA
73,2759979.263064016,87.72750171622316
74,1077179.6989355688,34.239794513628766
75,105121.1970982075,3.3547212195899108
76,NA,NA
77,123365.40291816789,3.939056786872589
78,0,0
79,54651.15943203277,1.7419936134909504
80,512028.3021846891,16.331867882157876
81,NA,NA
82,NA,NA
83,632102.4693090544,20.146742408125583
