object_id,npl_prox
1,2.2834327197110635
5,6.309733085974944
14,4.528585914802274
28,0.4937810676368384
32,0.20847404959059884
42,0.27557695261253573
53,0.2525028201082708
64,0.40708448682456827
69,0.3509594874808022
79,0.41377522344057255
91,0.31881613837903555
92,0.262318491945524
94,0.24440048813141715
95,0.21380004019429402
107,0.4807520875195833
127,0.7383525461848648
134,0.3718133316466476
146,1.7380500279939557
155,0.37613577673702336
156,0.6725644198967734
161,1.6132090890739925
164,0.6810594529849203
169,0.25628711725088005
171,0.20437312134064395
173,25107968.963395726
174,1.594421037546429
197,0.209518463001542
216,2.27267574421914
224,0.21649794569053982
232,0.6615182730286001
241,0.5855152919230767
250,0.5425917601736208
