object_id,avg_pm25
1,6.533333460489909
2,7.655555407206218
3,7.575000127156576
4,7.133333285649617
5,8.78333330154419
7,8.100000023841858
8,10.1833332379659
9,8.400000042385527
10,13.216666618982952
11,8.066666603088379
12,8.733333269755045
13,6.522222148047553
14,9.299999872843424
15,7.122222158643933
16,7.325000007947286
17,8.377777947319878
18,8.3666668732961
19,7.96666685740153
20,7.849999984105427
21,9.933333317438763
22,8.666666507720947
23,5.766666730244954
24,10.53333330154419
25,6.0500000317891445
26,8.599999904632568
27,8.211111121707495
28,5.450000047683716
29,9.724999904632568
30,8.100000063578287
31,8.044444349077013
32,7.750000158945719
33,7.575000047683716
34,9.024999936421713
35,7.7249999443689985
36,8.1833332379659
37,6.458333373069763
38,9.450000127156574
39,7.416666746139526
40,7.811111026340061
41,6.8666666348775225
42,8.166666666666666
43,10.011111047532822
44,10.583333174387615
45,10.733333269755045
46,7.644444465637207
47,6.258333404858907
48,8.825000007947287
49,15.524999936421713
50,8.166666746139526
51,7.388888941870795
52,7.858333428700765
53,6.877777735392253
54,7.566666603088379
55,9.84166669845581
56,8.177777767181396
57,8.450000047683716
58,7.622222158643935
59,7.97777779897054
61,7.611111217074924
62,7.633333524068196
63,8.577777597639297
64,8.64444457160102
65,4.549999972184499
66,5.855555587344699
67,7.633333524068196
68,7.583333174387613
69,10.916666587193808
70,7.733333428700765
71,7.808333277702331
72,7.808333277702331
73,7.833333253860474
74,7.8222222328186035
75,8.71666673819224
76,6.875000079472859
77,8.499999880790712
78,6.722222275204128
79,9.183333396911621
80,8.866666634877523
81,6.088888804117839
82,7.683333237965902
83,9.90833330154419
84,6.544444561004639
85,6.791666785875956
86,7.633333418104383
87,7.366666714350382
88,8
89,7.433333237965901
90,5.47777779897054
91,6.858333269755046
92,6.3499999443689985
93,8.225000143051147
94,5.750000039736429
95,8.183333396911621
96,10.08888891008165
97,10.08888891008165
98,7.144444359673394
99,8.416666428248087
100,7.925000111262004
101,6.566666603088379
102,8.50000003973643
103,7.722222222222222
104,8.2555555237664109
105,7.958333253860473
106,6.84166673819224
107,9.758333444595337
108,11.166666666666666
110,10.299999978807236
111,8.583333333333332
112,7.933333436648051
113,8.275000095367432
114,10.166666666666666
115,9.541666746139526
116,6.908333420753479
117,7.28333322207133
118,6.508333325386047
119,7.599999984105429
120,8.05833343664805
121,6.833333412806192
122,6.622222105662028
123,6.9000000556310015
124,8.574999888737997
125,8.166666666666666
126,7.9499999682108555
127,4.100000063578288
128,6.024999936421712
129,8.18333331743876
130,7.433333237965901
131,5.700000007947286
132,2.0666666726271314
133,9.866666899787054
134,9.558333396911623
135,3.0833333333333335
136,6.058333357175192
137,9.149999936421711
138,8.12500003973643
139,8.68888897365994
140,8.53333330154419
141,8.333333333333334
142,5.333333373069762
143,10.000000079472859
144,9.566666603088379
145,8.616666873296102
146,8.658333420753479
147,7.566666762034099
148,7.444444338480632
149,6.833333373069762
150,7.78333338101705
151,7.849999904632568
152,8.611111058129204
153,7.78333326180776
154,7.683333357175192
155,7.316666682561238
156,9.775000015894571
157,7.4666666984558105
158,8.016666690508524
159,8.93333329094781
160,5.9666666984558105
161,9.277777777777777
162,8.088888910081652
163,8.877777894337973
164,6.766666730244954
165,6.291666666666667
166,8.088888910081652
167,11.377777629428438
168,6.133333259158665
169,7.21666661898295
170,6.775000095367432
171,6.558333158493042
172,9.37499992052714
173,9.000000105963812
174,5.041666626930237
175,8.100000063578289
176,6.3666666348775225
177,8.600000063578287
178,7.5333333015441895
179,7.650000174840291
180,8.244444370269775
181,6.650000095367432
182,10.72222211625841
183,3.8833332856496177
184,7.525000015894572
185,8.21666661898295
186,7.750000079472859
187,6.208333412806192
188,7.677777820163303
189,6.300000031789144
190,7.916666746139526
191,10.944444550408257
192,6.166666666666667
193,4.400000055631002
194,8.449999888737997
195,8.444444444444445
196,7.833333293596903
197,8.01111110051473
198,7.52222220102946
199,7.833333333333333
200,7.083333333333334
201,8.977778010898165
202,8.6916667620341
203,8.233333269755045
204,7.4666666984558105
205,8.508333365122477
206,8.366666475931803
207,8.80833335717519
209,5.799999872843425
210,7.200000127156576
211,9.483333428700766
212,10.483333349227905
213,8.888888888888888
214,8.555555714501276
215,8.208333293596903
216,9.383333285649618
217,7.666666666666667
219,9.84166669845581
220,7.433333317438761
221,5.691666642824808
222,5.691666642824808
223,8.31666668256124
224,7.333333333333333
225,7.71666677792867
226,7.799999952316284
227,8.799999872843424
228,6.266666624281142
229,10.233333269755045
230,9.99999984105428
231,7.711111333635118
232,9.100000143051147
233,7.483333388964335
234,6.499999947018094
235,8.12500003973643
236,8.674999912579855
237,9.055555396609837
238,6.633333444595337
239,8.444444497426352
240,9.644444465637207
241,10.422222561306425
242,7.3444444868299685
243,7.46666661898295
244,7.46666661898295
245,7.199999968210856
246,8.641666730244955
247,7.55555534362793
248,7.53333314259847
249,7.5444442431132
250,8.916666746139526
251,7.816666841506958
252,7.783333381017049
253,8.233333428700766
254,8.544444561004639
255,7.49999992052714
256,7.800000111262003
257,12.05833339691162
258,9.74444442325168
259,7.666666666666667
260,7.816666682561238
