object_id,trafficProx
1,63.02524478037829
2,44.06522156675863
3,0
4,56.70351861517978
5,0
7,0
8,33.34908089456077
9,0
10,0
11,0
12,0
13,306.13038288850873
14,55.52358885846022
15,86.22287688628825
16,24.56328008774718
17,27.403309699896685
18,23.190053627060262
19,0
20,0
21,294.0596575052699
22,0
23,0
24,38.214079761920424
25,0
26,191.32094683365904
27,71.83392178635822
28,191.36655470072355
29,655.6504951841127
30,0
31,232.46799839874882
32,122.97436197229196
33,44.25484823155865
34,52.47172807449286
35,0
36,0
37,332.9766185041847
38,332.5573408047233
39,108.4599477521804
40,0
41,138.30361303162843
42,820.1924440829271
43,203.39176919289537
44,79.72428987084311
45,833.623226338361
46,134.98170460746462
47,22.158417519803347
48,178.61097704518272
49,470.01654336855347
50,72.58950215121946
51,271.91987627699496
52,5903.58093383043
53,120.5611053055047
54,16.925421362953273
55,33.6827712409835
56,110.24537118867617
57,0
58,33.37134001337286
59,0
61,0
62,26.023720653982757
63,113.64326542670312
64,107.09168107708405
65,0
66,0
67,0
68,288.73397905521455
69,2474.697927187189
70,0
71,345.08583766097627
72,345.08583766097627
73,226.21586621131928
74,486.0291108554469
75,0
76,125.57613054631254
77,8301.501645180628
78,64.63543046702407
79,59.74377109109605
80,140.16885760522626
81,0
82,123.84649375460197
83,232.17857193276657
84,27.556986897267585
85,67.52313881342745
86,22.879716245288414
87,0
88,0
89,0
90,288.53984949301235
91,35.815228438865205
92,534.7188046697173
93,221.12403230000837
94,26.613887620794106
95,0
96,144.46424927077544
97,144.46424927077544
98,24.992799914951693
99,118.81422783185134
100,136.01143015677036
101,65.03654182152195
102,376.1602168277799
103,0
104,215.32139733374237
105,0
106,253.49791368198362
107,117.82499432197744
108,1369.8289946070688
110,0
111,511.2906474084699
112,239.1010536842512
113,69.440409451629307
114,2313.6722524110264
115,306.3744613389988
116,132.1418859601136
117,106.29243872580484
118,0
119,0
120,0
121,52.454038985840185
122,95.4404923627778
123,223.18586893143157
124,0
125,0
126,0
127,0
128,0
129,59.14035347077699
130,291.04952828556804
131,268.0853647944059
132,0
133,951.7173161701086
134,485.9332325491547
135,45.84638788283775
136,124.71512761804337
137,79.90988657224045
138,202.36583473702305
139,0
140,745.560200384118
141,73.52845005281625
142,0
143,559.2076760751302
144,95.35903053787588
145,0
146,221.69114114259014
147,329.4076450867055
148,21.723753157395834
149,27.086517466167738
150,272.48503320970536
151,0
152,0
153,423.32640402913376
154,679.81322772345
155,171.0580701096544
156,33.94424832086701
157,111.72143732535065
158,42.82687901576053
159,55.069177202756805
160,107.205904346284
161,71.65422509465124
162,0
163,324.95190322492414
164,214.97924532626323
165,216.75168577683937
166,0
167,0
168,0
169,11.509168942313579
170,16.057392490015143
171,0
172,10.576119307702115
173,6169.207330944592
174,107.25843267988435
175,23.100584812980095
176,0
177,0
178,61.43773361265751
179,668.3727081370944
180,690.1012122722143
181,0
182,0
183,0
184,0
185,283.0716295461432
186,172.15836435455404
187,61.08615237785692
188,0
189,0
190,0
191,0
192,0
193,220.11964562005898
194,0
195,563.1397276145992
196,0
197,152.699476760211
198,0
199,599.4103234795163
200,966.2047922614895
201,85.21111150235718
202,0
203,0
204,1490.5239852812801
205,83.84770372297385
206,1345.0568007228494
207,252.24752262400688
209,217.31556659435708
210,18.858350300502355
211,161.7723495213173
212,257.7538936728282
213,43.099168533579814
214,127.27855931345334
215,159.67716941458738
216,81.04554234299856
217,136.7072996467042
219,21.80445736638336
220,0
221,0
222,0
223,0
224,64.77984908341567
225,0
226,96.43910793706682
227,48.12335667471624
228,68.57970618909525
229,534.3097659876097
230,725.4490200152884
231,0
232,58.23687707123038
233,47.48216194659504
234,0
235,137.265627187835
236,97.34370491912739
237,336.7289425040145
238,0
239,215.41559894988416
240,117.61685609939181
241,1070.1603324250286
242,59.115611231650306
243,22.962381045369877
244,1568.4593795760084
245,0
246,66.40965362586546
247,293.6673067301798
248,12.75091878617932
249,368.961671531203
250,319.7795739108828
251,136.77755731279564
252,67.25235471498573
253,262.77213547484104
254,177.47774806596394
255,38.468668466984305
256,0
257,319.08943016316374
258,126.58726600033265
259,31.027224327364586
260,0
