object_id,flood_risk_area_m2,flood_risk_percent,wildfire_risk,lst_avg,NLCD_Percent_Tree_Canopy_Cover,flood_risk_area_m2_pcntl,flood_risk_percent_pcntl,wildfire_risk_pcntl,lst_avg_pcntl,NLCD_Percent_Tree_Canopy_Cover_pcntl,NLCD_Percent_Tree_Canopy_Cover_pcntl_pcntl,climate_score
1,0,0,2.6341463414634148,37.00215929203543,3.4575129551331623,25.13368983957219,25.13368983957219,30.980392156862745,60.78431372549019,67.84313725490196,67.84313725490196,41.98238716984206
2,1324152.7527230072,42.123294554033784,578.9767441860465,31.463568904593664,53.40559719969267,91.97860962566845,91.97860962566845,98.82352941176471,24.705882352941178,5.490196078431373,5.490196078431373,29.2214449180244
3,0,0,3.116279069767442,29.1011669869742,4.085483786735574,25.13368983957219,25.13368983957219,32.15686274509804,11.372549019607844,65.88235294117646,65.88235294117646,31.637126605015656
4,NA,NA,1.6744186046511629,56.467185840708,1.0270259515531597,NA,NA,24.705882352941178,99.6078431372549,83.92156862745098,83.92156862745098,64.52236427781452
5,750134.1979113615,23.85177074025378,24.302325581395348,38.51000000000005,10.237546208457951,78.6096256684492,78.6096256684492,54.11764705882353,68.23529411764706,46.27450980392157,46.27450980392157,60.464042615076536
7,985507.0943272181,31.398141081092017,3.6341463414634148,30.388518518518545,5.813216552003196,85.02673796791443,85.02673796791443,34.90196078431372,17.647058823529413,60.3921568627451,60.3921568627451,50.322906030386186
8,262335.441374208,8.344687765319012,41.61904761904762,37.3831418312388,30.144656493763762,52.94117647058824,52.94117647058824,64.70588235294117,62.35294117647059,18.43137254901961,18.43137254901961,39.57466128425715
9,300779.4332587308,9.5690203995163845,69.69767441860465,33.85314487632512,19.35721700292973,55.61497326203209,55.61497326203209,74.11764705882354,41.96078431372549,29.01960784313726,29.01960784313726,44.81485141568325
10,0,0,2.142857142857143,52.39904424778763,0.01740774747161001,25.13368983957219,25.13368983957219,28.235294117647058,95.29411764705881,96.07843137254902,96.07843137254902,50.03460243345422
11,804109.3534129629,25.58667396591478,256.6666666666667,32.900881834215184,29.95327521849966,79.67914438502673,79.67914438502673,94.11764705882352,38.03921568627451,19.215686274509807,19.215686274509807,45.08000508287369
