object_id,pesticide_mean_kg
1,64.51976776123047
2,11.008131980895996
3,33.55384826660156
4,1.8068480491638184
5,170.5975341796875
7,20.220598220825195
8,0.19468748569488525
9,22.39350128173828
10,69.55924987792969
11,154.94845581054688
12,25.831457138061523
13,134.7914581298828
14,22.617462158203125
15,114.75405883789063
16,27.216215133666992
17,52.81678771972656
18,52.81679153442383
19,44.74252700805664
20,17.418106079101563
21,2.559494972229004
22,13.71120834350586
23,191.5753631591797
24,152.10513305664063
25,1.527361512184143
26,13.86583137512207
27,41.5683479309082
28,3.241262435913086
29,36.961334228515625
30,14.470402717590332
31,10.561079025268555
32,2.551724433898926
33,24.553184509277344
34,32.29033660888672
35,60.87853240966797
36,35.84241485595703
37,43.776702880859375
38,24.271167755126953
39,45.08974838256836
40,17.00965690612793
41,87.97716522216797
42,16.300518035888672
43,6.488132953643799
44,0.1276640146970749
45,0.12812240421772003
46,0.07481284439563751
47,45.983802795410156
48,53.76045227050781
49,149.94065856933594
50,46.36646270751953
51,NA
52,NA
53,43.515419006347656
54,38.32868957519531
55,1.2801828384399414
56,30.518924713134766
57,39.48226547241211
58,28.541156768798828
59,18.28104591369629
61,2.815129518508911
62,0.3381354808807373
63,51.77311325073242
64,59.57452392578125
65,3.9619133472442627
66,93.4824447631836
67,21.24887466430664
68,108.92879486083984
69,NA
70,86.293365478515625
71,20.278709411621094
72,20.278709411621094
73,0
74,121.07545471191406
75,88.85070037841797
76,51.9562873840332
77,4.672182559967041
78,36.7839469909668
79,20.384071350097656
80,21.943344116210938
81,0.016076231375336647
82,24.78129005432129
83,2.4088475704193115
84,6.7244439125061035
85,35.27424621582031
86,58.25911331176758
87,137.69345092773438
88,13.689358711242676
89,45.24614334106445
90,34.99590301513672
91,23.73676109313965
92,21.157512664794922
93,17.22231101989746
94,25.151491165161133
95,34.039703369140625
96,23.9330997467041
97,23.9330997467041
98,15.196008682250977
99,20.725074768066406
100,48.80233383178711
101,31.32314682006836
102,52.914852142333984
103,112.40196990966797
104,63.010826110839844
105,68.16876983642578
106,36.68407440185547
107,43.027591705322266
108,0
110,124.20708465576172
111,16.093456268310547
112,27.714624404907227
113,65.2982406616211
114,24.174726486206055
115,19.180381774902344
116,50.717041015625
117,62.31513977050781
118,63.536521911621094
119,0.6208578944206238
120,23.916643142700195
121,117.04444122314453
122,28.06379508972168
123,6.176440715789795
124,44.331172943115234
125,69.1282958984375
126,66.0503158569336
127,32.11478805541992
128,0.009212043136358261
129,118.46092224121094
130,41.999244689941406
131,28.38484001159668
132,28.166471481323242
133,21.889766693115234
134,121.07782745361328
135,75.2069091796875
136,20.010021209716797
137,25.213523864746094
138,56.144649505615234
139,39.184146881103516
140,50.71992874145508
141,36.68031692504883
142,28.780519485473633
143,1.4670826196670532
144,31.11672019958496
145,70.24095153808594
146,33.316349029541016
147,26.997583389282227
148,132.85816955566406
149,25.192358016967773
150,26.770145416259766
151,38.15201187133789
152,0.323272168636322
153,53.398250579833984
154,4.117186546325684
155,4.772617340087891
156,10.259659767150879
157,114.7718276977539
158,30.07532501220703
159,71.21489715576172
160,81.33308410644531
161,22.617462158203125
162,67.542327880859375
163,18.224952697753906
164,0
165,1.4464216232299805
166,19.05724334716797
167,0.0105591444298625
168,113.34502410888672
169,128.41793823242188
170,4.368651866912842
171,64.89334869384766
172,6.500626087188721
173,3.66190242767334
174,22.608985900878906
175,92.971038818359375
176,21.90702247619629
177,92.83155822753906
178,12.342391967773438
179,14.644371032714844
180,88.45922088623047
181,187.77642822265625
182,135.08335876464844
183,0.025122521445155144
184,3.8032267093658447
185,4.1326751708984375
186,25.381675720214844
187,69.4498062133789
188,36.257720947265625
189,1.8785288333892822
190,32.469139099121094
191,0.10982582718133926
192,64.6807861328125
193,60.802268981933594
194,49.84077835083008
195,21.295665740966797
196,139.32968139648438
197,28.954500198364258
198,44.64860916137695
199,10.549308776855469
200,5.027536392211914
201,77.17559814453125
202,70.24095153808594
203,26.1331844329834
204,30.8433780670166
205,26.064870834350586
206,39.73597717285156
207,18.307987213134766
209,0.16195747256278992
210,106.77042388916016
211,90.122650146484375
212,9.410796165466309
213,63.57490921020508
214,25.854225158691406
215,61.090553283691406
216,2.7292845249176025
217,3.873350143432617
219,1.2801827192306519
220,82.5613021850586
221,88.54862976074219
222,88.54862976074219
223,31.769914627075195
224,63.612640380859375
225,108.70820617675781
226,23.035993576049805
227,105.05540466308594
228,33.898529052734375
229,6.811683177947998
230,28.77585220336914
231,146.75506591796875
232,0
233,124.52921295166016
234,125.42660522460938
235,3.6129839420318604
236,31.013643264770508
237,20.17397689819336
238,25.687355041503906
239,17.847169876098633
240,0.36725375056266785
241,2.118945837020874
242,48.700077056884766
243,137.8076629638672
244,137.80764770507813
245,0
246,38.30751037597656
247,69.72151184082031
248,69.72151184082031
249,69.72151184082031
250,72.2475357055664
251,59.444576263427734
252,38.674442291259766
253,38.80195617675781
254,36.268341064453125
255,34.37632751464844
256,49.268882751464844
257,186.27767944335938
258,21.689577102661133
259,92.490234375
260,19.857158660888672
